"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17049","B-2: 3人がランダムマッチ → 2人がマッチ、1人が待機","E2Eテスト","Mon Feb 16 05:00:31 UTC 2026","passed","Mon Feb 16 05:00:48 UTC 2026","ランダムマッチ複数人","random-match-multi.spec.ts","",""
"","300","再戦ボタンクリックで RequestRematch が送信されること","ユニットテスト","Mon Feb 16 04:52:57 UTC 2026","passed","Mon Feb 16 04:52:58 UTC 2026","","Client","",""
"","6","Disconnect による敗北でも LOSE が表示されること","ユニットテスト","Mon Feb 16 04:52:58 UTC 2026","passed","Mon Feb 16 04:52:58 UTC 2026","","Client","",""
"","1","ホールドピースが描画されること","ユニットテスト","Mon Feb 16 04:52:53 UTC 2026","passed","Mon Feb 16 04:52:53 UTC 2026","","Client","",""
"","1","50ms 経過後は再び即時送信されること","ユニットテスト","Mon Feb 16 04:52:52 UTC 2026","passed","Mon Feb 16 04:52:52 UTC 2026","","Client","",""
"","0","Iミノの壁際回転でウォールキックが発動すること","ユニットテスト","Mon Feb 16 04:52:52 UTC 2026","passed","Mon Feb 16 04:52:52 UTC 2026","","Client","",""
"","14","engine の onFieldUpdate コールバックでストアとSignalRが更新されること","ユニットテスト","Mon Feb 16 04:52:54 UTC 2026","passed","Mon Feb 16 04:52:54 UTC 2026","","Client","",""
"","0","clears multiple lines simultaneously","ユニットテスト","Mon Feb 16 04:52:55 UTC 2026","passed","Mon Feb 16 04:52:55 UTC 2026","","Client","",""
"","0","areBothReady が正しく判定されること","ユニットテスト","Mon Feb 16 04:53:02 UTC 2026","passed","Mon Feb 16 04:53:02 UTC 2026","","Server","",""
"","1","fires once immediately on initial press, then no repeat before DAS_MS","ユニットテスト","Mon Feb 16 04:52:52 UTC 2026","passed","Mon Feb 16 04:52:52 UTC 2026","","Client","",""
"","4434","A-6: 同じニックネームの2人が同じルームに参加 → 正常動作","chromium","Mon Feb 16 04:59:08 UTC 2026","passed","Mon Feb 16 04:59:13 UTC 2026","ルーム競合・同時操作","room-concurrency.spec.ts","",""
