"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","hold: current が null のとき早期リターンすること","ユニットテスト","Mon Feb 16 14:59:26 UTC 2026","passed","Mon Feb 16 14:59:26 UTC 2026","","Client","",""
"","0","disconnect timeout is 30 seconds","ユニットテスト","Mon Feb 16 14:59:24 UTC 2026","passed","Mon Feb 16 14:59:24 UTC 2026","","Shared","",""
"","0","enterpriseId が取得できない場合に UNAUTHORIZED Error が返ること","ユニットテスト","Mon Feb 16 14:59:37 UTC 2026","passed","Mon Feb 16 14:59:37 UTC 2026","","Server","",""
"","6049","Result画面にリマッチボタンが両者に表示されること","chromium","Mon Feb 16 15:04:16 UTC 2026","passed","Mon Feb 16 15:04:22 UTC 2026","リマッチフロー完全検証","rematch-full.spec.ts","",""
"","0","buffer rows include 2 extra rows above visible area","ユニットテスト","Mon Feb 16 14:59:24 UTC 2026","passed","Mon Feb 16 14:59:24 UTC 2026","","Shared","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Mon Feb 16 15:01:20 UTC 2026","failed","Mon Feb 16 15:01:20 UTC 2026","","Failed Audits","",""
"","1","starts repeating after DAS_MS elapses","ユニットテスト","Mon Feb 16 14:59:26 UTC 2026","passed","Mon Feb 16 14:59:26 UTC 2026","","Client","",""
"","0","現在のピースがない場合に getGhostRow が null を返すこと","ユニットテスト","Mon Feb 16 14:59:26 UTC 2026","passed","Mon Feb 16 14:59:26 UTC 2026","","Client","",""
"","1","生成時の初期状態が正しいこと","ユニットテスト","Mon Feb 16 14:59:36 UTC 2026","passed","Mon Feb 16 14:59:36 UTC 2026","","Server","",""
"","0","切断で player.disconnect() が呼ばれること","ユニットテスト","Mon Feb 16 14:59:37 UTC 2026","passed","Mon Feb 16 14:59:37 UTC 2026","","Server","",""
"","0","存在しない connectionId で getScore が 0 を返すこと","ユニットテスト","Mon Feb 16 14:59:36 UTC 2026","passed","Mon Feb 16 14:59:36 UTC 2026","","Server","",""
"","0","ルームに参加していない場合は何もしないこと","ユニットテスト","Mon Feb 16 14:59:37 UTC 2026","passed","Mon Feb 16 14:59:37 UTC 2026","","Server","",""
"","0","disconnect で isConnected が false になること","ユニットテスト","Mon Feb 16 14:59:36 UTC 2026","passed","Mon Feb 16 14:59:36 UTC 2026","","Server","",""
"","0","Playing → Finished への遷移が正しいこと","ユニットテスト","Mon Feb 16 14:59:36 UTC 2026","passed","Mon Feb 16 14:59:36 UTC 2026","","Server","",""
"","0","存在しない connectionId で addLinesCleared が 0 からスタートすること","ユニットテスト","Mon Feb 16 14:59:36 UTC 2026","passed","Mon Feb 16 14:59:36 UTC 2026","","Server","",""
"","0","receives events after re-attach","ユニットテスト","Mon Feb 16 14:59:26 UTC 2026","passed","Mon Feb 16 14:59:26 UTC 2026","","Client","",""
"","76","トップへ戻るボタンで sendLeaveRoom が呼ばれること","ユニットテスト","Mon Feb 16 14:59:31 UTC 2026","passed","Mon Feb 16 14:59:31 UTC 2026","","Client","",""
"","1","反時計回り回転でテトリミノの回転状態が変わること (CCW)","ユニットテスト","Mon Feb 16 14:59:26 UTC 2026","passed","Mon Feb 16 14:59:26 UTC 2026","","Client","",""
"","0","fires again after release and re-press","ユニットテスト","Mon Feb 16 14:59:26 UTC 2026","passed","Mon Feb 16 14:59:26 UTC 2026","","Client","",""
"","18","コード品質メトリクスが正しく表示されること","ユニットテスト","Mon Feb 16 14:59:33 UTC 2026","passed","Mon Feb 16 14:59:33 UTC 2026","","Client","",""
"","0","ルームに参加していない場合は何もしないこと","ユニットテスト","Mon Feb 16 14:59:37 UTC 2026","passed","Mon Feb 16 14:59:37 UTC 2026","","Server","",""
"","0","setReady で isReady が true になること","ユニットテスト","Mon Feb 16 14:59:36 UTC 2026","passed","Mon Feb 16 14:59:36 UTC 2026","","Server","",""
"","1","左右移動でテトリミノの位置が変わること","ユニットテスト","Mon Feb 16 14:59:26 UTC 2026","passed","Mon Feb 16 14:59:26 UTC 2026","","Client","",""
"","1","ブロックがあるセルで fillRect が追加で呼ばれること","ユニットテスト","Mon Feb 16 14:59:27 UTC 2026","passed","Mon Feb 16 14:59:27 UTC 2026","","Client","",""
"","1","ルーム退出で相手に OpponentDisconnected(timeout=0) が送られること","ユニットテスト","Mon Feb 16 14:59:37 UTC 2026","passed","Mon Feb 16 14:59:37 UTC 2026","","Server","",""
"","6316","勝者からのリマッチ要求が敗者に通知されること","chromium","Mon Feb 16 15:04:28 UTC 2026","passed","Mon Feb 16 15:04:35 UTC 2026","リマッチシナリオ","rematch-scenario.spec.ts","",""
"","1","High Risk: 0","OWASP ZAP","Mon Feb 16 15:01:41 UTC 2026","passed","Mon Feb 16 15:01:41 UTC 2026","","By Risk Level","",""
"","0","clears multiple lines simultaneously","ユニットテスト","Mon Feb 16 14:59:29 UTC 2026","passed","Mon Feb 16 14:59:29 UTC 2026","","Client","",""
"","7","opponentEnterpriseId が設定されている場合にその名前が表示されること","ユニットテスト","Mon Feb 16 14:59:28 UTC 2026","passed","Mon Feb 16 14:59:28 UTC 2026","","Client","",""
"","0","health endpoint exists (tested in smoke test)","ユニットテスト","Mon Feb 16 14:59:37 UTC 2026","passed","Mon Feb 16 14:59:37 UTC 2026","","Server","",""
"","1","Security Posture: 2 finding(s) across 1 tool(s)","Security Dashboard","Mon Feb 16 15:07:51 UTC 2026","failed","Mon Feb 16 15:07:51 UTC 2026","","Overview","",""
"","1","defines a color for each type","ユニットテスト","Mon Feb 16 14:59:33 UTC 2026","passed","Mon Feb 16 14:59:33 UTC 2026","","Client","",""
