"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","おじゃまラインに穴が1つだけ空いていること","ユニットテスト","Mon Apr 06 19:06:21 UTC 2026","passed","Mon Apr 06 19:06:21 UTC 2026","","Client","",""
"","1","コールバックが未設定の場合に切断通知が送信されないこと","ユニットテスト","Mon Apr 06 19:06:17 UTC 2026","passed","Mon Apr 06 19:06:17 UTC 2026","","Server","",""
"","0","存在しないルームIDで参加がエラーになること","ユニットテスト","Mon Apr 06 19:06:17 UTC 2026","passed","Mon Apr 06 19:06:17 UTC 2026","","Server","",""
"","3","FieldUpdate が相手に OpponentFieldUpdate として転送されること","ユニットテスト","Mon Apr 06 19:06:17 UTC 2026","passed","Mon Apr 06 19:06:17 UTC 2026","","Server","",""
"","1","returns valid spawn position for all types","ユニットテスト","Mon Apr 06 19:06:21 UTC 2026","passed","Mon Apr 06 19:06:21 UTC 2026","","Client","",""
"","1","接続状態が Connected でない場合に invoke が何もしないこと","ユニットテスト","Mon Apr 06 19:06:13 UTC 2026","passed","Mon Apr 06 19:06:13 UTC 2026","","Client","",""
"","0","不正な状態遷移が拒否されること (Finished → Playing)","ユニットテスト","Mon Apr 06 19:06:16 UTC 2026","passed","Mon Apr 06 19:06:16 UTC 2026","","Server","",""
"","1","ルーム退出でルームが削除されること","ユニットテスト","Mon Apr 06 19:06:17 UTC 2026","passed","Mon Apr 06 19:06:17 UTC 2026","","Server","",""
"","1","[HIGH] undici: Undici: Malicious WebSocket 64-bit length overflows parser and crashes the client, Undici has an HTTP Request/Response Smuggling issue, Undici has Unbounded Memory Consumption in WebSocket permessage-deflate Decompression, Undici has Unhandled Exception in WebSocket Client Due to Invalid server_max_window_bits Validation, Undici has CRLF Injection in undici via `upgrade` option, Undici has Unbounded Memory Consumption in its DeduplicationHandler via Response Buffering that leads to DoS","npm audit","Mon Apr 06 19:06:01 UTC 2026","failed","Mon Apr 06 19:06:01 UTC 2026","","Vulnerabilities","",""
"","1","""z"" (rotateCCW) fires only once per press","ユニットテスト","Mon Apr 06 19:06:13 UTC 2026","passed","Mon Apr 06 19:06:13 UTC 2026","","Client","",""
"","1","おじゃまブロック (value=8) が描画されること","ユニットテスト","Mon Apr 06 19:06:15 UTC 2026","passed","Mon Apr 06 19:06:15 UTC 2026","","Client","",""
"","0","ルームに参加していない場合は何もしないこと","ユニットテスト","Mon Apr 06 19:06:17 UTC 2026","passed","Mon Apr 06 19:06:17 UTC 2026","","Server","",""
"","1","接地済みの状態で自動落下が失敗した場合、再度接地状態にならないこと (tryMoveDown already grounded)","ユニットテスト","Mon Apr 06 19:06:13 UTC 2026","passed","Mon Apr 06 19:06:13 UTC 2026","","Client","",""
"","0","update() が早期リターンすること","ユニットテスト","Mon Apr 06 19:06:13 UTC 2026","passed","Mon Apr 06 19:06:13 UTC 2026","","Client","",""
"","1","満員ルームへの参加が拒否されること","ユニットテスト","Mon Apr 06 19:06:17 UTC 2026","passed","Mon Apr 06 19:06:17 UTC 2026","","Server","",""
"","1","ゲームオーバー時に onGameOver コールバックが呼ばれること","ユニットテスト","Mon Apr 06 19:06:13 UTC 2026","passed","Mon Apr 06 19:06:13 UTC 2026","","Client","",""
"","1","ミニフィールドサイズが正しいこと","ユニットテスト","Mon Apr 06 19:06:15 UTC 2026","passed","Mon Apr 06 19:06:15 UTC 2026","","Client","",""
"","0","ホールドで次のテトリミノに交代すること","ユニットテスト","Mon Apr 06 19:06:13 UTC 2026","passed","Mon Apr 06 19:06:13 UTC 2026","","Client","",""
"","1","GameOver で正しい勝者が判定されること","ユニットテスト","Mon Apr 06 19:06:17 UTC 2026","passed","Mon Apr 06 19:06:17 UTC 2026","","Server","",""
"","0","Waiting → Ready への遷移が正しいこと","ユニットテスト","Mon Apr 06 19:06:16 UTC 2026","passed","Mon Apr 06 19:06:16 UTC 2026","","Server","",""
"","603","期間セレクタが機能すること","ユニットテスト","Mon Apr 06 19:06:22 UTC 2026","passed","Mon Apr 06 19:06:23 UTC 2026","","Client","",""
"","12","onRematchAccepted でロビーにナビゲートされること","ユニットテスト","Mon Apr 06 19:06:19 UTC 2026","passed","Mon Apr 06 19:06:19 UTC 2026","","Client","",""
"","1","value -1 (負の値) でもエラーにならないこと","ユニットテスト","Mon Apr 06 19:06:15 UTC 2026","passed","Mon Apr 06 19:06:15 UTC 2026","","Client","",""
"","2","has all required actions","ユニットテスト","Mon Apr 06 19:06:00 UTC 2026","passed","Mon Apr 06 19:06:00 UTC 2026","","Shared","",""
"","0","disconnect timeout is 30 seconds","ユニットテスト","Mon Apr 06 19:06:00 UTC 2026","passed","Mon Apr 06 19:06:00 UTC 2026","","Shared","",""
